Cit_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
210,Griffith,41.5284,-87.4237,28.98,83,0,23.02,clear sky,22-02-11 03:11:02
211,Ostrovnoy,68.0531,39.5131,24.71,87,100,17.0,overcast clouds,22-02-11 03:11:03
212,Thompson,55.7435,-97.8558,-20.43,90,100,10.6,overcast clouds,22-02-11 03:11:03
213,Itarema,-2.9248,-39.9167,77.04,83,90,7.14,overcast clouds,22-02-11 03:11:04
214,Mecca,21.4267,39.8261,64.15,61,0,8.08,clear sky,22-02-11 03:11:25
215,Auki,-8.7676,160.7034,80.94,83,93,8.55,light rain,22-02-11 03:12:19
216,Bambous Virieux,-20.3428,57.7575,79.21,81,6,6.26,clear sky,22-02-11 03:12:20
217,Vardo,70.3705,31.1107,21.4,82,89,12.55,overcast clouds,22-02-11 03:12:20
218,Fuerte Olimpo,-21.0415,-57.8738,77.27,40,0,6.82,clear sky,22-02-11 03:12:21
219,Ishigaki,24.3448,124.1572,66.99,79,99,17.27,overcast clouds,22-02-11 03:12:21
220,Ekibastuz,51.6667,75.3667,-10.44,99,44,5.32,scattered clouds,22-02-11 03:12:21
221,Makaha,21.4694,-158.2175,78.71,64,100,4.61,overcast clouds,22-02-11 03:12:22
222,Port Said,31.2565,32.2841,58.33,58,58,15.57,broken clouds,22-02-11 03:12:22
223,Panzhihua,26.5851,101.7128,60.35,47,0,0.98,clear sky,22-02-11 03:12:23
224,Kaili,-3.4626,120.2147,71.51,91,100,2.35,overcast clouds,22-02-11 03:12:23
225,Mtimbira,-8.7833,36.35,70.57,98,100,1.43,light rain,22-02-11 03:12:23
226,Tasiilaq,65.6145,-37.6368,17.76,62,100,5.86,overcast clouds,22-02-11 03:12:24
227,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,58,0,4.47,clear sky,22-02-11 03:12:24
228,Ilulissat,69.2167,-51.1,-0.38,60,100,6.91,overcast clouds,22-02-11 03:10:31
229,Ajaccio,42.0,8.9167,42.85,80,0,5.75,clear sky,22-02-11 03:08:27
230,Hvide Sande,56.0045,8.1294,39.0,85,37,7.67,snow,22-02-11 03:12:25
231,Palmer,42.1584,-72.3287,39.07,74,4,3.31,clear sky,22-02-11 03:12:25
232,Wanning,18.8003,110.3967,70.59,77,73,7.25,broken clouds,22-02-11 03:12:26
233,Hambantota,6.1241,81.1185,79.65,75,72,5.44,broken clouds,22-02-11 03:12:26
234,Yumen,40.2833,97.2,26.74,44,89,20.69,overcast clouds,22-02-11 03:12:26
235,Ardakan,32.31,54.0175,48.54,24,0,4.12,clear sky,22-02-11 03:12:27
236,Cheyenne,41.14,-104.8203,44.24,47,0,25.32,clear sky,22-02-11 03:12:27
237,Ola,59.5833,151.2833,7.14,66,96,3.49,overcast clouds,22-02-11 03:12:28
238,Kavieng,-2.5744,150.7967,83.64,71,93,6.06,light rain,22-02-11 03:12:28
239,Nouadhibou,20.931,-17.0347,70.47,47,80,14.16,broken clouds,22-02-11 03:12:28
240,Kihei,20.785,-156.4656,78.82,71,40,12.66,scattered clouds,22-02-11 03:12:29
241,Vestmannaeyjar,63.4427,-20.2734,36.14,63,99,5.35,overcast clouds,22-02-11 03:12:29
242,Vao,-22.6667,167.4833,81.7,85,100,34.67,light rain,22-02-11 03:12:30
243,Cockburn Town,21.4612,-71.1419,77.97,79,0,19.26,clear sky,22-02-11 03:13:45
244,Yuancheng,36.652,107.7896,29.68,66,100,2.13,overcast clouds,22-02-11 03:13:45
245,Maceio,-9.6658,-35.7353,76.44,88,20,2.3,few clouds,22-02-11 03:13:46
246,Asmar,35.0333,71.3581,40.77,25,0,11.77,clear sky,22-02-11 03:13:46
247,Lata,40.1629,-8.3327,49.71,64,90,4.74,overcast clouds,22-02-11 03:13:47
248,Husavik,66.0449,-17.3389,25.3,74,35,14.72,scattered clouds,22-02-11 03:13:47
249,Pangody,65.85,74.4859,-1.16,81,28,15.7,scattered clouds,22-02-11 03:13:47
250,Asau,46.4333,26.4,38.75,87,100,7.16,overcast clouds,22-02-11 03:13:48
251,Luganville,-15.5333,167.1667,88.16,61,97,6.51,overcast clouds,22-02-11 03:13:48
252,Dole,47.0833,5.5,46.0,93,75,11.5,broken clouds,22-02-11 03:13:49
253,Yulara,-25.2406,130.9889,89.44,19,0,10.36,clear sky,22-02-11 03:13:49
254,San Cristobal,7.7669,-72.225,69.98,91,84,1.54,broken clouds,22-02-11 03:13:50
